"name";"city";"stadium"
"Brest";"Brest";"Stade Francis Le Ble"
"Clermont";"Clermont-Ferrand";"Gabriel Montpied Stadium"
"Le Havre";"Le Havre";"Stade Oceane"
"Lens";"Lens";"Stade Bollaert-Delelis"
"Lille";"Villeneuve-d'Ascq";"Stade Pierre Mauroy"
"Lorient";"Lorient";"Stade du Moustoir"
"Lyon";"Decines-Charpieu";"Groupama Stadium"
"Marseille";"Marseille";"Orange Velodrome"
"Metz";"Longeville-les-Metz";"Stade Saint-Symphorien"
"Monaco";"Monaco";"Stade Louis II"
"Montpellier";"Montpellier";"Stade de la Mosson"
"Nantes";"Nantes";"La Beaujoire Stadium"
"Nice";"Nice";"Allianz Riviera"
"Paris SG";"Paris";"Parc des Princes"
"Reims";"Reims";"Stade Auguste Delaune"
"Rennes";"Rennes";"Roazhon Park"
"Strasbourg";"Strasbourg";"Stade de la Meinau Strasbourg"
"Toulouse";"Toulouse";"Stadium de Toulouse"
