team,matchID,goals,shots,fouls,yellows,reds,match_outcome
Nice,NICLIL,1,8,13,3,0,Draw
Marseille,MARREI,2,14,7,1,0,Win
"Paris SG",PARLOR,0,20,8,0,0,Draw
Brest,BRELEN,3,15,13,2,0,Win
Clermont,CLEMON,2,15,7,0,0,Loss
Montpellier,"MONLE ",2,15,8,1,0,Draw
Nantes,NANTOU,1,9,14,2,0,Loss
Rennes,RENMET,5,29,7,0,0,Win
Strasbourg,STRLYO,2,8,8,2,0,Win
Metz,METMAR,2,10,15,3,1,Draw
Lyon,LYOMON,1,7,20,4,1,Loss
Toulouse,TOUPAR,1,8,8,0,0,Draw
Lille,LILNAN,2,18,8,0,1,Win
"Le Havre","LE BRE",1,18,18,0,0,Loss
Lorient,LORNIC,1,9,8,1,0,Draw
Reims,REICLE,2,8,9,0,0,Win
Monaco,MONSTR,3,9,19,2,0,Win
Lens,LENREN,1,15,15,2,0,Draw
Nantes,NANMON,3,3,8,2,0,Draw
Marseille,MARBRE,2,15,4,0,0,Win
"Paris SG",PARLEN,3,17,8,0,0,Win
Rennes,"RENLE ",2,22,5,1,0,Draw
Clermont,CLEMET,0,16,8,1,0,Loss
Montpellier,MONREI,1,19,9,1,0,Loss
Strasbourg,STRTOU,2,11,16,1,0,Win
Lorient,LORLIL,4,9,22,2,0,Win
Nice,NICLYO,0,21,8,1,0,Draw
Nantes,NANMAR,1,10,7,0,1,Draw
Brest,BREREN,0,13,12,3,0,Draw
Monaco,MONLEN,3,11,21,4,0,Win
Toulouse,TOUCLE,2,9,19,1,0,Draw
"Le Havre","LE LOR",3,17,10,0,0,Win
Lille,LILMON,1,15,15,2,0,Win
Metz,METREI,2,12,10,0,0,Draw
Nice,NICSTR,2,16,7,2,0,Win
Lyon,LYOPAR,1,19,9,2,0,Loss
"Paris SG",PARNIC,2,12,8,2,0,Loss
Rennes,RENLIL,2,7,11,1,0,Draw
Lens,LENMET,0,31,12,1,0,Loss
Lorient,LORMON,2,10,13,0,0,Draw
Clermont,CLENAN,0,16,16,2,0,Loss
Reims,REIBRE,1,13,7,2,0,Loss
Strasbourg,STRMON,2,14,17,4,0,Draw
Marseille,MARTOU,0,24,9,2,0,Draw
Lyon,"LYOLE ",0,23,13,3,0,Draw
Monaco,MONNIC,0,9,13,1,0,Loss
Nantes,NANLOR,5,19,8,1,0,Win
Brest,BRELYO,1,27,17,3,0,Win
Metz,METSTR,0,13,16,2,0,Loss
"Le Havre","LE CLE",2,9,15,2,0,Win
Lens,LENTOU,2,27,16,2,0,Win
Montpellier,MONREN,0,13,10,2,0,Draw
"Paris SG",PARMAR,4,15,11,0,0,Win
Lille,LILREI,1,14,4,1,0,Loss
Strasbourg,STRLEN,0,8,16,2,0,Loss
Clermont,CLEPAR,0,12,11,2,0,Draw
Monaco,MONMAR,3,10,17,4,0,Win
Reims,REILYO,2,8,19,2,0,Win
"Le Havre","LE LIL",0,5,18,0,0,Loss
Nice,NICBRE,0,12,13,1,0,Draw
Toulouse,TOUMET,3,15,10,3,0,Win
Lorient,LORMON,0,14,13,2,0,Loss
Rennes,RENNAN,3,16,11,3,0,Win
Strasbourg,STRNAN,1,11,15,4,0,Loss
Metz,METNIC,0,10,9,0,0,Loss
Reims,REIMON,1,11,10,0,0,Loss
Marseille,"MARLE ",3,14,6,0,0,Win
Brest,BRETOU,1,13,18,2,0,Draw
Lyon,LYOLOR,3,9,22,0,0,Draw
Lens,LENLIL,1,14,14,2,0,Draw
Rennes,RENPAR,1,14,12,1,0,Loss
"Le Havre","LE LEN",0,14,16,2,0,Draw
"Paris SG",PARSTR,3,8,11,2,0,Win
Nice,NICMAR,1,10,13,4,0,Win
Lorient,LORREN,2,5,5,0,0,Win
Lille,LILBRE,1,6,12,2,0,Win
Nantes,NANMON,2,14,16,2,0,Win
Toulouse,TOUREI,1,11,18,2,0,Draw
Monaco,MONMET,2,27,12,1,0,Win
Lyon,LYOCLE,1,25,16,4,0,Loss
Clermont,CLENIC,0,8,14,0,0,Loss
Reims,REILOR,1,12,16,1,0,Win
Lens,LENNAN,4,11,12,1,0,Win
Brest,BREPAR,2,20,14,3,0,Loss
Lille,LILMON,2,7,17,1,0,Win
Metz,"METLE ",0,9,13,2,0,Draw
Montpellier,MONTOU,3,19,13,2,0,Win
Rennes,RENSTR,1,20,14,2,0,Draw
"Paris SG",PARMON,3,21,10,1,0,Win
Lorient,LORLEN,0,7,10,3,0,Draw
Marseille,MARLIL,0,8,10,2,0,Draw
Lyon,LYOMET,1,15,16,1,0,Draw
Nantes,NANREI,0,17,5,1,0,Loss
Strasbourg,STRCLE,0,18,11,2,1,Draw
Toulouse,"TOULE ",1,17,9,2,0,Loss
Monaco,MONBRE,2,12,15,2,0,Win
Nice,NICREN,2,16,7,0,1,Win
Montpellier,MONNIC,0,9,11,0,0,Draw
Reims,REIPAR,0,19,14,1,0,Loss
